states,Brooks College of Interdisciplinary,College of Community & Public Service,College of Education,College of Health Professions,College of Liberal Arts & Sciences,Kirkhof College of Nursing,Padnos College of Engineering & Computing,Seidman College of Business,Total
Alabama,0,0,0,3,0,0,0,0,3
Alaska,0,0,1,0,0,0,0,0,1
Arkansas,0,0,0,0,1,0,0,0,1
California,0,0,0,3,0,0,0,0,3
Florida,0,0,0,3,0,0,0,0,3
Illinois,0,4,3,14,7,0,0,0,28
Indiana,0,1,1,9,0,0,0,1,12
Iowa,0,0,0,0,1,0,0,0,1
Kansas,0,0,0,1,0,0,0,0,1
Maine,0,0,0,0,1,0,0,0,1
Maryland,0,1,0,0,0,0,0,0,1
Minnesota,0,0,0,2,1,0,0,0,3
Missouri,0,0,0,1,0,0,0,0,1
Nebraska,0,0,0,1,0,0,0,0,1
New York,0,1,2,0,0,0,0,0,3
North Carolina,0,0,2,1,0,0,0,0,3
Ohio,0,0,3,4,0,0,1,0,8
Oregon,0,1,0,0,0,0,0,0,1
Pennsylvania,0,0,1,2,1,0,0,0,4
South Carolina,0,0,0,0,0,0,0,1,1
Tennessee,0,0,0,1,0,0,0,0,1
Utah,0,0,1,0,0,0,0,1,2
Virginia,0,0,1,1,0,0,0,0,2
Wisconsin,0,0,1,1,1,0,0,0,3
 Arizona ,0,0,0,0,0,0,0,0,0
 Colorado ,0,0,0,0,0,0,0,0,0
 Connecticut ,0,0,0,0,0,0,0,0,0
 Delaware ,0,0,0,0,0,0,0,0,0
 Georgia ,0,0,0,0,0,0,0,0,0
 Hawaii ,0,0,0,0,0,0,0,0,0
 Idaho ,0,0,0,0,0,0,0,0,0
 Iowa ,0,0,0,0,0,0,0,0,0
 Kentucky[E] ,0,0,0,0,0,0,0,0,0
 Louisiana ,0,0,0,0,0,0,0,0,0
 Massachusetts[E] ,0,0,0,0,0,0,0,0,0
 Michigan ,0,0,0,0,0,0,0,0,0
 Mississippi ,0,0,0,0,0,0,0,0,0
 Montana ,0,0,0,0,0,0,0,0,0
 Nevada ,0,0,0,0,0,0,0,0,0
 New Hampshire ,0,0,0,0,0,0,0,0,0
 New Jersey ,0,0,0,0,0,0,0,0,0
 New Mexico ,0,0,0,0,0,0,0,0,0
 North Dakota ,0,0,0,0,0,0,0,0,0
 Oklahoma ,0,0,0,0,0,0,0,0,0
 Rhode Island[F] ,0,0,0,0,0,0,0,0,0
 South Carolina ,0,0,0,0,0,0,0,0,0
 Texas ,0,0,0,0,0,0,0,0,0
 Vermont ,0,0,0,0,0,0,0,0,0
 Washington ,0,0,0,0,0,0,0,0,0
 West Virginia ,0,0,0,0,0,0,0,0,0
 Wyoming ,0,0,0,0,0,0,0,0,0
